Year_Month,Monthly_Revenue,Monthly_Units,Transaction_Count,MoM_Growth_Rate_Pct
2023-01,171010.0,149,35,0.0
2023-02,153522.5,159,34,-10.23
2023-03,156180.0,137,31,1.73
2023-04,128242.5,137,30,-17.89
2023-05,119745.0,132,33,-6.63
2023-06,119365.0,89,23,-0.32
2023-07,234815.0,216,44,96.72
2023-08,136035.0,150,32,-42.07
2023-09,114100.0,121,32,-16.12
2023-10,168825.0,179,34,47.96
2023-11,445457.5,440,40,163.86
2023-12,432647.5,354,34,-2.88
2024-01,157265.0,131,27,-63.65
2024-02,192627.5,174,33,22.49
2024-03,144540.0,165,33,-24.96
2024-04,204252.5,183,39,41.31
2024-05,157040.0,151,33,-23.11
2024-06,176710.0,176,33,12.53
2024-07,95642.5,110,23,-45.88
2024-08,178060.0,186,35,86.17
2024-09,154267.5,161,35,-13.36
2024-10,167107.5,157,28,8.32
2024-11,354845.0,330,34,112.35
2024-12,358477.5,369,30,1.02
2025-01,168732.5,155,33,-52.93
2025-02,156627.5,205,42,-7.17
2025-03,138807.5,138,30,-11.38
2025-04,214132.5,182,39,54.27
2025-05,103865.0,134,29,-51.49
2025-06,161552.5,139,34,55.54
2025-07,102942.5,126,32,-36.28
2025-08,85037.5,120,28,-17.39
2025-09,211005.0,193,42,148.13
2025-10,147912.5,137,34,-29.9
2025-11,382612.5,455,39,158.67
2025-12,219442.5,284,34,-42.65
