Transaction ID,User ID,Transaction Amount,Date,Location,Payment Method,Status,Device ID
TXN1001,USR_101,150.00,2026-08-01 09:15:00,New York,Credit Card,SUCCESS,DEV_001
TXN1002,USR_102,45.50,2026-08-01 09:20:00,London,Debit Card,SUCCESS,DEV_002
TXN1003,USR_103,12000.00,2026-08-01 10:05:00,New York,Credit Card,SUCCESS,DEV_003
TXN1004,USR_104,80.00,2026-08-01 10:10:00,San Francisco,PayPal,SUCCESS,DEV_004
TXN1005,USR_105,95.00,2026-08-01 10:15:00,Chicago,Debit Card,FAILED,DEV_005
TXN1006,USR_105,110.00,2026-08-01 10:16:00,Chicago,Debit Card,FAILED,DEV_005
TXN1007,USR_105,1500.00,2026-08-01 10:18:00,Chicago,Debit Card,SUCCESS,DEV_005
TXN1008,USR_106,300.00,2026-08-01 11:00:00,Paris,Credit Card,SUCCESS,DEV_006
TXN1009,USR_106,350.00,2026-08-01 11:05:00,Tokyo,Credit Card,SUCCESS,DEV_006
TXN1010,USR_999,650.00,2026-08-01 11:30:00,Miami,StolenCard_v1,SUCCESS,DEV_009
TXN1011,USR_107,250.00,2026-08-01 12:00:00,Boston,Credit Card,SUCCESS,DEV_007
TXN1012,USR_107,280.00,2026-08-01 12:02:00,Boston,Credit Card,SUCCESS,DEV_007
TXN1013,USR_107,310.00,2026-08-01 12:05:00,Boston,Credit Card,SUCCESS,DEV_007
TXN1014,USR_107,290.00,2026-08-01 12:07:00,Boston,Credit Card,SUCCESS,DEV_007
TXN1015,USR_108,120.00,2026-08-01 13:00:00,Seattle,PayPal,SUCCESS,DEV_008
TXN1016,USR_108,115.00,2026-08-01 13:15:00,Seattle,PayPal,SUCCESS,DEV_008
TXN1017,USR_108,8900.00,2026-08-01 13:25:00,Seattle,PayPal,SUCCESS,DEV_008
TXN1018,USR_109,75.00,2026-08-01 14:00:00,Unknown Region,Anonymous_Proxy_Pay,SUCCESS,DEV_010
TXN1019,USR_110,6200.00,2026-08-01 14:30:00,Sanctioned Area B,Credit Card,SUCCESS,DEV_011
TXN1020,USR_111,210.00,2026-08-01 15:00:00,Los Angeles,Debit Card,SUCCESS,DEV_012
